,brand_name,calories,carbohydrate,fat,fiber,food_name,food_type,measurement_description,metric_serving_amount,metric_serving_unit,number_of_units,protein,saturated_fat,serving_description,sugar,trans_fat
0,Mars,240.0,37.0,9.0,1.0,Milky Way Bar,Brand,serving,52.200,g,1.000,2.0,7.0,1 bar,31.0,0.0
1,Mars,240.0,36.0,9.0,,Mars Bar,Brand,serving,52.000,g,1.000,2.0,,1 bar,,
2,Mars,220.0,36.0,8.0,1.0,Milky Way Midnight Dark Bar,Brand,serving,,,1.000,1.0,6.0,1 bar,29.0,0.0
3,Mars,230.0,36.0,9.0,1.0,Milky Way 2 To Go Bars,Brand,serving,51.000,g,1.000,2.0,6.0,1 bar,31.0,0.0
4,Mars,180.0,29.0,7.0,1.0,Milky Way Midnight,Brand,serving,40.000,g,1.000,1.0,4.5,1 bar,24.0,0.0
5,Mars,270.0,41.0,11.0,,Milky Way,Brand,serving,58.100,g,1.000,2.0,7.0,1 bar,35.0,
6,Mars,250.0,37.0,11.0,0.0,Milky Way Simply Caramel Bar,Brand,serving,1.910,oz,1.000,2.0,8.0,1 bar,31.0,0.0
7,Mars,230.0,36.0,9.0,1.0,Milky Way (King Size),Brand,serving,51.000,g,1.000,2.0,6.0,1 bar,31.0,0.0
8,Mars,190.0,27.0,8.0,0.0,Milky Way Simply Caramel 2 to Go,Brand,serving,40.000,g,1.000,2.0,5.0,1 bar,23.0,0.0
9,Mars,220.0,35.0,8.0,0.0,Milky Way French Vanilla & Caramel,Brand,serving,1.720,oz,1.000,2.0,6.0,1 bar,30.0,0.0
10,Mars,220.0,29.0,11.0,1.0,Chocolate Almond Bar,Brand,serving,,,1.000,3.0,4.5,1 bar,25.0,0.0
11,Mars,190.0,30.0,8.0,1.0,Milky Way Fudge,Brand,serving,43.000,g,1.000,2.0,5.0,1 bar,25.0,
12,Mars,250.0,37.0,11.0,0.0,Milky Way Caramel & Nougat Chocolate,Brand,serving,58.100,g,1.000,2.0,8.0,1 bar,31.0,
