,brand_name,calories,carbohydrate,fat,fiber,food_name,food_type,measurement_description,metric_serving_amount,metric_serving_unit,number_of_units,protein,saturated_fat,serving_description,sugar,trans_fat
0,Hershey's,210.0,27.0,11.0,1.0,Kit Kat Candy Bar,Brand,serving,42.0,ml,1.0,3.0,7.0,4 piece bar,21.0,0.0
1,Hershey's,280.0,37.0,15.0,1.0,Kit Kat (Large Size),Brand,serving,57.0,g,1.0,4.0,10.0,1 package,29.0,0.0
2,Nestle,230.0,29.0,12.0,1.0,Kit Kat,Brand,serving,45.0,g,1.0,3.0,7.0,1 bar,22.0,0.1
3,Hershey's,210.0,28.0,11.0,1.0,Kit Kat,Brand,serving,42.0,g,1.0,3.0,7.0,3 two peice bars,22.0,0.0
4,Hershey's,210.0,27.0,11.0,1.0,Kit Kat Big Kat,Brand,serving,,,1.0,3.0,7.0,1 package,21.0,
5,Nestle,106.0,10.0,6.1,1.0,Kit Kat Dark,Brand,serving,15.0,g,1.0,1.0,2.5,1 bar,6.0,0.0
6,Hershey's,220.0,26.0,12.0,,Kit Kat White,Brand,serving,42.0,g,1.0,3.0,,1 four-piece bar,,
7,Nestle,220.0,29.0,12.0,1.0,Kit Kat Extra Crispy,Brand,serving,45.0,g,1.0,3.0,8.0,1 bar,23.0,0.0
8,Hershey's,200.0,26.0,11.0,1.0,Kit Kat Caramel,Brand,serving,41.0,g,1.0,3.0,7.0,1 package,22.0,0.0
0,Toblerone,180.0,21.0,10.0,0.5,Swiss Milk Chocolate with Honey Almond Nougat,Brand,serving,33.0,g,1.0,2.0,6.0,1/3 bar,20.0,0.0
1,Toblerone,160.0,20.0,10.0,2.0,Swiss Dark Chocolate with Honey and Almond Nougat,Brand,serving,33.0,g,1.0,2.0,6.0,1/3 bar,15.0,0.0
2,Toblerone,170.0,21.0,10.0,0.0,Swiss White Confection Honey Almond Nougat,Brand,serving,33.0,g,1.0,2.0,6.0,1 serving,20.0,0.0
3,Toblerone,260.0,31.0,15.0,1.0,Swiss Milk Chocolate with Honey Almond Nougat,Brand,serving,40.0,g,1.0,3.0,8.0,1 serving,30.0,0.0
4,Toblerone,170.0,21.0,8.0,1.0,Swiss Milk Chocolate with Raisins and Honey and Almond Nougat,Brand,serving,33.0,g,1.0,2.0,5.0,1/3 bar,20.0,0.0
5,Toblerone,170.0,20.0,9.0,2.0,Swiss Bittersweet Chocolate with Honey Almond Nougat,Brand,serving,33.0,g,1.0,1.0,5.0,1 serving,16.0,0.0
6,Toblerone,210.0,24.0,12.0,2.0,Tiny,Brand,serving,40.0,g,1.0,2.0,7.0,5 chocolates,23.0,0.0
7,Toblerone,170.0,21.0,8.0,1.0,Toblerone Fruit & Nut,Brand,serving,33.0,g,1.0,2.0,5.0,1/3 bar,20.0,0.0
8,Toblerone,220.0,19.0,14.0,1.0,Chocolate Cake,Brand,serving,50.0,g,1.0,5.0,6.0,1/8 cake,19.0,0.0
0,Peter Paul,230.0,29.0,13.0,3.0,Mounds Chocolate Bar,Brand,serving,1.75,oz,1.0,2.0,10.0,1 bar,21.0,
1,Hershey's,240.0,28.0,13.0,3.0,Mounds Dark Chocolate Candy Bar,Brand,serving,49.0,g,1.0,2.0,10.0,1 bar,20.0,0.0
0,Reese's,210.0,24.0,13.0,1.0,Milk Chocolate Peanut Butter Cups,Brand,serving,42.0,g,1.0,5.0,4.5,2 pieces,21.0,0.0
1,Reese's,300.0,33.0,18.0,2.0,Peanut Butter Cups (Large),Brand,serving,,,1.0,6.0,7.0,1 package,30.0,0.0
2,Reese's,220.0,22.0,13.0,2.0,Crunchy Peanut Butter Cups,Brand,serving,1.5,oz,1.0,5.0,4.5,2 cups,20.0,0.0
3,Reese's,400.0,44.0,24.0,3.0,Peanut Butter Cups (King Size),Brand,serving,79.0,g,1.0,9.0,8.0,1 package,39.0,0.0
4,Reese's,400.0,46.0,22.0,3.0,Reese's Pieces Big Cup,Brand,serving,2.8,oz,1.0,8.0,10.0,1 package,41.0,0.0
5,Reese's,210.0,24.0,13.0,1.0,Dark Chocolate Peanut Butter Cups,Brand,serving,42.0,g,1.0,5.0,4.5,1 package (2 cups),21.0,0.0
6,Reese's,200.0,24.0,11.0,1.0,Peanut Butter Cups Stuffed with Crunchy Cookie,Brand,serving,39.0,g,1.0,4.0,4.5,1 package,21.0,0.0
7,Reese's,380.0,44.0,21.0,3.0,Crunchy Cookie Big Cup,Brand,serving,,,1.0,8.0,8.0,1 package,38.0,0.0
0,Nestle,250.0,39.0,10.0,1.0,Butterfinger Bar,Brand,serving,54.0,g,1.0,3.0,5.0,1 bar,24.0,0.0
1,Nestle,300.0,35.0,17.0,1.0,Butterfinger Peanut Butter Crisp Bar,Brand,serving,57.0,g,1.0,3.0,13.0,1 package,25.0,0.0
0,Twix,250.0,32.0,13.0,1.0,Twix Java Cookie Bars,Brand,serving,56.7,g,1.0,2.0,7.0,2 cookies,24.0,0.0
1,Twix,250.0,27.0,14.0,2.0,Twix Chocolate Peanut Butter Cookie Bars,Brand,serving,,,1.0,5.0,6.0,2 cookie bars,18.0,0.0
0,3 Musketeers,180.0,32.0,6.0,1.0,Coconut Bar,Brand,serving,1.5,oz,1.0,1.0,4.0,1 bar,28.0,0.0
1,3 Musketeers,170.0,20.0,9.0,0.0,Truffle Crisp Bar,Brand,serving,1.1,oz,1.0,2.0,6.0,2 bars,18.0,0.0
2,3 Musketeers,240.0,42.0,7.0,1.0,3 Musketeers Bar,Brand,serving,2.13,oz,1.0,1.0,5.0,1 bar,36.0,
3,3 Musketeers,100.0,17.0,3.0,0.0,3 Musketeers 100 Calorie Bar,Brand,serving,,,1.0,1.0,2.0,1 bar,15.0,0.0
4,3 Musketeers,260.0,46.0,8.0,1.0,Whipped Up Fluffy Chocolate Bar,Brand,serving,60.4,g,1.0,2.0,5.0,1 bar,40.0,
0,Hershey's,230.0,37.0,8.0,0.0,Zero Candy Bar,Brand,serving,52.0,g,1.0,3.0,5.0,1 bar,31.0,0.0
1,Hershey's,200.0,34.0,7.0,0.0,Zero Candy Bar (King Size),Brand,serving,,,1.0,2.0,5.0,1/2 bar,29.0,0.0
0,Nestle,190.0,25.0,10.0,0.0,Crunch Caramel & Coconut,Brand,serving,1.3,oz,1.0,1.0,9.0,1 bar,17.0,0.0
1,Nestle,200.0,24.0,11.0,1.0,Crunch Thin Mints,Brand,serving,1.3,oz,1.0,1.0,10.0,1 bar,16.0,
2,Nestle,220.0,30.0,11.0,1.0,Crunch Candy Bar,Brand,serving,43.9,g,1.0,2.0,7.0,1 bar,24.0,
0,Hershey's,210.0,24.0,13.0,1.0,Heath Bar,Brand,serving,99.0,g,1.0,1.0,7.0,1 bar,24.0,
1,Hershey's,200.0,25.0,12.0,,Skor Bar,Brand,serving,39.0,g,1.0,1.0,7.0,1 bar,24.0,
2,Hershey's,230.0,28.0,12.0,0.5,Whatchamacallit Bar,Brand,serving,45.0,g,1.0,3.0,9.0,1 bar,21.0,0.0
3,Hershey's,220.0,26.0,13.0,1.0,Milk Chocolate Bar,Brand,serving,43.0,g,1.0,3.0,8.0,1 bar,24.0,0.0
4,Hershey's,250.0,29.0,13.0,1.0,Payday Avalanche Bar,Brand,serving,51.0,g,1.0,4.0,5.0,1 bar,24.0,0.0
5,Hershey's,230.0,37.0,8.0,0.0,Zero Candy Bar,Brand,serving,52.0,g,1.0,3.0,5.0,1 bar,31.0,0.0
6,Hershey's,230.0,28.0,12.0,0.0,Candy Cane Bar,Brand,serving,43.0,g,1.0,3.0,7.0,1 bar,23.0,0.0
7,Hershey's,370.0,45.0,20.0,1.0,Whatchamacallit Bar (King Size),Brand,serving,73.0,g,1.0,4.0,15.0,1 bar,33.0,0.0
8,Hershey's,160.0,21.0,12.0,3.0,Bliss Dark Chocolate Bar,Brand,serving,36.0,g,1.0,2.0,7.0,1 bar,17.0,0.0
9,Hershey's,210.0,24.0,13.0,0.0,Symphony Milk Chocolate Bar,Brand,serving,42.0,g,1.0,3.0,8.0,1 bar,23.0,
10,Hershey's,260.0,38.0,12.0,1.0,5th Avenue Candy Bar,Brand,serving,56.0,g,1.0,4.0,5.0,1 bar,29.0,
11,Hershey's,220.0,27.0,12.0,0.0,Cherry Cheesecake Chocolate Bar,Brand,serving,42.0,g,1.0,3.0,7.0,1 bar,21.0,0.0
12,Hershey's,220.0,26.0,12.0,0.0,Cookies 'n' Cream Bar,Brand,serving,43.0,g,1.0,3.0,7.0,1 bar,19.0,
13,Hershey's,200.0,24.0,13.0,3.0,Special Dark Chocolate Bar,Brand,serving,41.0,g,1.0,2.0,8.0,1 bar,20.0,
14,Hershey's,220.0,22.0,14.0,0.0,Gold Peanuts & Pretzels Bar,Brand,serving,39.0,g,1.0,3.0,7.0,1 bar,20.0,
15,Hershey's,220.0,27.0,11.0,0.0,Cookies 'n' Creme Chocolate Bar,Brand,serving,43.0,g,1.0,3.0,7.0,1 bar,19.0,0.5
16,Hershey's,210.0,21.0,14.0,2.0,Milk Chocolate Bar with Almonds,Brand,serving,52.0,g,1.0,4.0,6.0,1 bar,19.0,
